year,j_day,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,CH4_emissions
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,141,12796189.871233841,24925911.520007633,13961051.75107755,1215886.628944871,2063319.4949947537,37322220.45776546,20393927.607278995,32575787.419180952,1823829.9434173077,11692143.804970272,5667.437334810087,13276.843212333912
2011,142,12818859.62001939,24970070.301496148,13976757.809766015,1217578.5365353765,2065971.0802672016,37388340.55838998,20430057.519405965,32612434.889454037,1826367.8048030657,11707169.454847476,5667.437196387007,13297.700667202005
2011,143,12841529.17527356,25014228.706001665,13992474.809809757,1219270.482687247,2068660.0715983587,37454460.09454797,20466187.1230923,32649107.889556102,1828905.7240308716,11722407.0723907,5667.388813542648,13318.5581220701
2011,144,12864198.17770147,25058386.033647697,14008566.465249162,1220929.7143714423,2071223.979797212,37520578.01829605,20502315.845711783,32686655.08558138,1831394.5715571647,11736935.885517534,5667.25060697737,13339.415576938194
2011,145,12886866.820075763,25102542.65993929,14024667.384050103,1222553.346316826,2074031.4634080827,37586694.89188774,20538443.994495813,32724223.89611691,1833830.01947524,11752844.959312469,5667.1605935736225,13360.273031806291
2011,146,12909535.462273434,25146699.28588683,14040774.847475642,1224177.016933328,2076840.1909483154,37652811.764964275,20574572.14299835,32761807.97744317,1836265.5253999932,11768761.082040453,5667.16054941734,13381.130486674387
2011,147,12932204.104316575,25190855.91153337,14056888.85980278,1225800.7264640178,2079645.6004190112,37718928.63759011,20610700.29125461,32799407.339539826,1838701.0896960278,11784658.402374396,5667.160510785783,13401.98794154248
2011,148,12954872.746227408,25235012.53692218,14073009.425369168,1227424.4751553263,2082442.371744995,37785045.509830035,20646828.439299997,32837021.992528062,1841136.7127329907,11800506.773221638,5667.160477708045,13422.845396410576
2011,149,12977541.38802826,25279169.16209676,14089136.548573455,1229048.263257065,2085233.7370923772,37851162.38174919,20682956.58717011,32874651.946671396,1843572.3948855991,11816324.510190137,5667.160450213214,13443.70285127867
2011,150,13000209.848130658,25323325.43333789,14105272.547875714,1230672.0904170608,2088061.9545919579,37917278.72371452,20719084.445458308,32912302.61171,1846008.1356255927,11832351.076021094,5667.1150255998555,13464.560306146766
2011,151,13022877.082984287,25367479.317896523,14121967.494451119,1232242.649453613,2090645.7253731529,37983391.49203761,20755210.351006277,32951257.487052612,1848363.9741804209,11846992.443781199,5666.808713407352,13485.41776101486
2011,152,13045544.318079595,25411633.20292592,14138668.86355553,1233771.7464455531,2093476.0248486293,38049504.26106559,20791336.256939426,32990227.348296236,1850657.6196683312,11863030.807475565,5666.808773826808,13506.275215882955
