year,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,manure_applied,N_applied,P_applied
,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2003,54724465153.64073,180007392070.26624,23481838735412.36,15454977837452.947,6971130678.385012,9134255552.914501,8428989411.617258,3149328950540.5015,1330525815895.0408,2287844862.5119114,782936190.2498138,58.257453295317184,21269.36548585898,10500.0
2004,57958443861.31665,190645818374.74802,24875802791233.023,16371066520881.115,7388066350.341204,9432437897.388067,8704166976.394125,3252582796914.9067,1374133025142.2295,2362635474.418393,808494676.9189769,59.91129791809952,21879.05684226733,10800.0
2005,61276633363.09669,201561301312.74408,26306044952965.883,17311002205753.457,7815922028.569774,9678052713.52499,8930849676.542229,3337231710709.967,1409903527308.506,2424515509.9619303,829547375.4449993,0.0,0.0,0.0
2006,64685753062.87321,212775927145.55466,27775853705907.7,18276878302639.742,8255820384.754241,9943265791.014843,9175602954.117628,3429553756864.1147,1448814145329.43,2492757351.7119403,852279924.9441301,3.327158340238383,1215.7281244008532,600.0
2007,68186368840.416534,224291554594.59998,29285318122374.133,19268765302236.887,8707761418.894579,10210129351.16822,9421877003.764416,3522083638421.6646,1487830499395.717,2560999193.4619493,875153944.3858467,58.21959102394952,21276.249089456902,10500.0
2008,71788410416.53995,236140856950.43942,30838714227445.883,20289464780814.664,9173032861.259008,10505954597.026834,9694883745.68687,3624590911834.0225,1531049217866.613,2636538173.3984313,900510394.0308712,3.3261575030833384,1215.906436578602,600.0
2009,75472706229.14682,248260749935.4369,32427683132978.46,21333477815330.195,9649092244.949356,10745862786.76966,9916276078.63441,3707594112909.346,1566019551773.228,2697669840.9119663,921073953.1516854,1.6628550094857353,607.9941526187453,300.0
2010,79250178344.4188,260687172551.62158,34056725413395.43,22403788088546.62,10137194306.59558,11017627002.876944,10167073049.605812,3801098654306.393,1605465409824.6233,2765911682.6619444,944368028.8180237,29.008191815383125,10608.027930644064,5233.985579945747
2011,83120257580.63234,273418265839.00748,35725819367318.1,23500406163156.53,10637339046.19769,11287731105.623173,10416349053.31556,3894552559152.9614,1644927111914.829,2834153524.411912,967519809.0534124,87.19244228808647,31889.991230767744,15733.68388727678
2012,87092540245.52809,286485600601.597,37439363633118.445,24626191700617.22,11150946258.970331,11585824439.279028,10691455714.846022,3998269953534.1157,1688678306191.0283,2910440872.378353,993070666.2239168,122.09083929991125,44661.20951214653,22033.40008102109
