year,j_day,flush_water_volume,TS,VS,N,P,K,TS_liquid,VS_liquid,N_liquid,P_liquid,K_liquid,TS_DM_effluent,WIP,WOP,CH4
,,liters,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2010,210,3155574.07263118,15146.755548629659,29504.61757910153,20496.328531735795,1919.3191144393058,3133.0333215148494,44178.03701683652,24140.141655628522,47824.7665740502,2878.978671658959,17753.85548858415,3786.688887157415,2136.4485825951556,213.64485825951581,227786.50993451488
2010,211,3155572.9815156874,15146.750311275304,29504.60737717168,20504.06356027382,1919.328744565948,3125.8902231295797,44178.02174121962,24140.133308595006,47842.81497397224,2878.993116848921,17713.377931067615,3786.687577818826,2138.0836863160775,213.80836863160792,227777.4601190468
2010,212,3155534.8258511457,15146.567164085503,29504.250621708215,20513.276717151108,1919.3396019175316,3169.1079290250455,44177.487561916045,24139.84141776126,47864.31234001924,2879.009402876297,17958.278264475255,3786.641791021376,2142.0248512190465,214.20248512190486,227675.0657601689
2010,213,3155571.183446375,15146.7416805426,29504.59056522361,20520.828104154178,1919.350282073925,3175.0639938120803,44177.996568249255,24140.11955336477,47881.93224302643,2879.0254231108865,17992.029298268448,3786.6854201356505,2143.7218656114883,214.3721865611491,227666.43025152778
2010,214,3155619.383375231,15146.973040201108,29505.04123455841,20734.84967188853,1938.4561772057896,3288.340001883662,44178.67136725325,24140.488282820515,48381.315901073234,2907.6842658086834,18633.926677340747,3786.743260050277,2157.4840338403524,215.74840338403544,228456.6001104791
2010,215,3156281.3826407483,15150.150636675593,29511.230927691,18208.53512227726,1907.9534274353905,2804.2839462454485,44187.939356970484,24145.552577201724,42486.58195198027,2861.9301411530855,15890.942362057542,3787.5376591688982,2234.0201403879782,223.4020140387981,231313.25322306424
2010,216,3156239.7613815377,15149.950854631385,29510.841768917377,18213.42553597685,1930.8937177153866,2916.8626214744763,44187.35665934153,24145.234174568755,42497.99291727932,2896.3405765730795,16528.88818835537,3787.4877136578466,2211.396573750873,221.13965737508713,231196.71570704825
2010,217,3156144.8665786195,15149.495359577379,29509.9545025101,18221.9974243495,1930.9086783791245,3001.428537875985,44186.02813210068,24144.50822932644,42517.993990148854,2896.3630175686867,17008.09504796392,3787.3738398943447,2215.6588568337033,221.56588568337014,230943.16122468177
2010,218,3156106.8510247273,15149.312884918694,29509.599057081203,18232.51849941347,1930.9259207973382,3023.4935125045267,44185.49591434619,24144.217410339163,42542.54316529809,2896.388881196007,17133.129904192312,3787.3282212296735,2220.361249879387,222.03612498793854,230826.86167512572
2010,219,3156089.211326484,15149.228214367118,29509.43412590263,18240.246203054332,1930.9437928187458,3024.402973859218,44185.24895857078,24144.0824666476,42560.57447379346,2896.4156892281185,17138.283518535565,3787.3070535917795,2227.843724033813,222.784372403381,230738.3202137674
2010,220,3156058.8910646127,15149.082677110138,29509.15063145413,18248.07238003482,1930.9613428024613,3082.447001660672,44184.824474904584,24143.85051664428,42578.835553414596,2896.4420142036925,17467.199676077147,3787.270669277535,2229.4326791726894,222.94326791726877,230551.3180348921
2010,221,3156017.3130034464,15148.883102416537,29508.761876582226,18258.409204427502,1930.9788563658117,3135.3016874157547,44184.24238204824,24143.53244447636,42602.95481033084,2896.4682845487173,17766.709562022606,3787.220775604135,2237.2633805781093,223.72633805781072,230326.31548725982
2010,222,3156463.552876594,15151.02505380765,29512.934219396157,18452.780827262228,1877.0028792540888,2790.5514416423302,44190.489740272315,24146.94617950594,43056.488596945186,2815.5043188811333,15813.124835973204,3787.7562634519127,2336.618338507644,233.66183385076414,234888.17280710323
2010,223,3156593.6203050483,15151.649377464235,29514.150349852207,18651.35785605421,1980.3230992407216,2866.5316880686514,44192.31068427068,24147.941195333617,43519.83499745982,2970.484648861082,16243.679565722352,3787.912344366059,2316.504335012638,231.6504335012635,235606.18298010298
2010,224,3156580.757712084,15151.587637018005,29514.030084607995,18659.18564753406,1980.3309790491476,2867.9899190847336,44192.13060796918,24147.842796497443,43538.09984424616,2970.4964685737204,16251.942874813487,3787.896909254501,2322.681139674648,232.2681139674647,235547.44475121878
2010,225,3156616.220095992,15151.75785646076,29514.36165789753,18761.71842627421,1990.053808798527,2906.163662979696,44192.62708134389,24148.114083734337,43777.342994639825,2985.080713197791,16468.260756884938,3787.9394641151903,2330.7852518876693,233.0785251887667,235917.49916762477
2010,226,3156640.748387357,15151.875592259312,29514.590997421794,18863.673628647244,1999.8552828423817,2945.5741030427125,44192.970477423005,24148.301725163285,44015.23846684357,2999.7829242635717,16691.586583908713,3787.968898064828,2343.0385373963395,234.30385373963367,236234.08188841687
2010,227,3156650.9517184827,15151.924568248714,29514.686398567806,18872.587028373746,1999.865369971414,2992.556972063514,44193.11332405876,24148.379780646384,44036.03639953873,2999.7980549571203,16957.822841693247,3787.981142062179,2344.258970920416,234.42589709204145,235941.73238933
2010,228,3156657.1708129453,15151.954419902137,29514.744547101036,18880.14987022469,1999.8767901378833,2987.273996129228,44193.20039138123,24148.427356719025,44053.683030524284,2999.815185206825,16927.885978065624,3787.988604975534,2355.4044472504374,235.54044472504356,235829.2404018097
