year,j_day,DM,NDF,C,N,P,CP,NPN,C_loss,CP_loss
2012,19,8861728.866187047,0.0,8861728.866187047,8861728.866187047,8861728.866187047,8861728.866187047,1109.9731954346503,475859.6069194192,66.68236527499904
2012,20,9328135.648617886,0.0,9328135.648617886,9328135.648617886,9328135.648617886,9328135.648617886,1168.3928372996268,500904.8493888618,70.1919634473671
2012,21,9794542.431048725,0.0,9794542.431048725,9794542.431048725,9794542.431048725,9794542.431048725,1226.8124791646032,525950.0918583045,73.70156161973516
2012,22,10260949.213479564,0.0,10260949.213479564,10260949.213479564,10260949.213479564,10260949.213479564,1285.2321210295797,550995.3343277479,77.21115979210322
2012,23,10727355.995910402,0.0,10727355.995910402,10727355.995910402,10727355.995910402,10727355.995910402,1343.6517628945562,576040.5767971914,80.72075796447128
2012,24,11193762.778341241,0.0,11193762.778341241,11193762.778341241,11193762.778341241,11193762.778341241,1402.0714047595327,601085.8192666349,84.23035613683933
2012,25,11660169.56077208,0.0,11660169.56077208,11660169.56077208,11660169.56077208,11660169.56077208,1460.4910466245092,626131.0617360784,87.73995430920739
2012,26,12126576.343202919,0.0,12126576.343202919,12126576.343202919,12126576.343202919,12126576.343202919,1518.9106884894857,651176.3042055218,91.24955248157545
2012,27,12592983.125633758,0.0,12592983.125633758,12592983.125633758,12592983.125633758,12592983.125633758,1577.3303303544621,676221.5466749653,94.75915065394351
2012,28,13059389.908064596,0.0,13059389.908064596,13059389.908064596,13059389.908064596,13059389.908064596,1635.7499722194386,701266.7891444088,98.26874882631157
2012,29,13525796.690495435,0.0,13525796.690495435,13525796.690495435,13525796.690495435,13525796.690495435,1694.1696140844151,726312.0316138522,101.77834699867962
2012,30,13992203.472926274,0.0,13992203.472926274,13992203.472926274,13992203.472926274,13992203.472926274,1752.5892559493916,751357.2740832957,105.28794517104768
2012,31,14458610.255357113,0.0,14458610.255357113,14458610.255357113,14458610.255357113,14458610.255357113,1811.008897814368,776402.5165527392,108.79754334341574
2012,32,14925017.037787952,0.0,14925017.037787952,14925017.037787952,14925017.037787952,14925017.037787952,1869.4285396793446,801447.7590221827,112.3071415157838
2012,33,15391423.82021879,0.0,15391423.82021879,15391423.82021879,15391423.82021879,15391423.82021879,1927.848181544321,826493.0014916261,115.81673968815186
2012,34,15857830.60264963,0.0,15857830.60264963,15857830.60264963,15857830.60264963,15857830.60264963,1986.2678234092975,851538.2439610696,119.32633786051991
2012,35,16324237.385080468,0.0,16324237.385080468,16324237.385080468,16324237.385080468,16324237.385080468,2044.687465274274,876583.4864305131,122.83593603288797
2012,36,16790644.167511307,0.0,16790644.167511307,16790644.167511307,16790644.167511307,16790644.167511307,2103.107107139254,901628.7288999566,126.34553420525603
2012,37,17257050.94994209,0.0,17257050.94994209,17257050.94994209,17257050.94994209,17257050.94994209,2161.526749004234,926673.9713694,129.8551323776242
2012,38,17723457.732372873,0.0,17723457.732372873,17723457.732372873,17723457.732372873,17723457.732372873,2219.9463908692137,951719.2138388435,133.36473054999246
2012,39,18189864.514803655,0.0,18189864.514803655,18189864.514803655,18189864.514803655,18189864.514803655,2278.3660327341936,976764.456308287,136.87432872236073
2012,40,18656271.29723444,0.0,18656271.29723444,18656271.29723444,18656271.29723444,18656271.29723444,2336.7856745991735,1001809.6987777305,140.383926894729
2012,41,19122678.07966522,0.0,19122678.07966522,19122678.07966522,19122678.07966522,19122678.07966522,2395.2053164641534,1026854.9412471739,143.89352506709727
2012,42,19589084.862096004,0.0,19589084.862096004,19589084.862096004,19589084.862096004,19589084.862096004,2453.6249583291333,1051900.1837166178,147.40312323946554
2012,43,20055491.644526787,0.0,20055491.644526787,20055491.644526787,20055491.644526787,20055491.644526787,2512.044600194113,1076945.4261860647,150.91272141183381
2012,44,20521898.42695757,0.0,20521898.42695757,20521898.42695757,20521898.42695757,20521898.42695757,2570.464242059093,1101990.6686555117,154.42231958420209
2012,45,20988305.209388353,0.0,20988305.209388353,20988305.209388353,20988305.209388353,20988305.209388353,2628.883883924073,1127035.9111249587,157.93191775657036
2012,46,21454711.991819136,0.0,21454711.991819136,21454711.991819136,21454711.991819136,21454711.991819136,2687.303525789053,1152081.1535944056,161.44151592893863
2012,47,21921118.77424992,0.0,21921118.77424992,21921118.77424992,21921118.77424992,21921118.77424992,2745.7231676540327,1177126.3960638526,164.9511141013069
2012,48,22387525.5566807,0.0,22387525.5566807,22387525.5566807,22387525.5566807,22387525.5566807,2804.1428095190126,1202171.6385332996,168.46071227367517
2012,49,22853932.339111485,0.0,22853932.339111485,22853932.339111485,22853932.339111485,22853932.339111485,2862.5624513839925,1227216.8810027465,171.97031044604344
2012,50,23320339.121542268,0.0,23320339.121542268,23320339.121542268,23320339.121542268,23320339.121542268,2920.9820932489724,1252262.1234721935,175.4799086184117
2012,51,23786745.90397305,0.0,23786745.90397305,23786745.90397305,23786745.90397305,23786745.90397305,2979.4017351139523,1277307.3659416405,178.98950679077998
2012,52,24253152.686403833,0.0,24253152.686403833,24253152.686403833,24253152.686403833,24253152.686403833,3037.821376978932,1302352.6084110874,182.49910496314826
2012,53,24719559.468834616,0.0,24719559.468834616,24719559.468834616,24719559.468834616,24719559.468834616,3096.241018843912,1327397.8508805344,186.00870313551653
2012,54,25185966.2512654,0.0,25185966.2512654,25185966.2512654,25185966.2512654,25185966.2512654,3154.660660708892,1352443.0933499814,189.5183013078848
2012,55,25652373.033696182,0.0,25652373.033696182,25652373.033696182,25652373.033696182,25652373.033696182,3213.080302573872,1377488.3358194283,193.02789948025307
2012,56,26118779.816126965,0.0,26118779.816126965,26118779.816126965,26118779.816126965,26118779.816126965,3271.499944438852,1402533.5782888753,196.53749765262134
2012,57,26585186.598557748,0.0,26585186.598557748,26585186.598557748,26585186.598557748,26585186.598557748,3329.9195863038317,1427578.8207583223,200.0470958249896
2012,58,27051593.38098853,0.0,27051593.38098853,27051593.38098853,27051593.38098853,27051593.38098853,3388.3392281688116,1452624.0632277692,203.55669399735788
2012,59,27518000.163419314,0.0,27518000.163419314,27518000.163419314,27518000.163419314,27518000.163419314,3446.7588700337915,1477669.3056972162,207.06629216972615
2012,60,27984406.945850097,0.0,27984406.945850097,27984406.945850097,27984406.945850097,27984406.945850097,3505.1785118987714,1502714.5481666632,210.57589034209443
2012,61,28450813.72828088,0.0,28450813.72828088,28450813.72828088,28450813.72828088,28450813.72828088,3563.5981537637513,1527759.7906361101,214.0854885144627
2012,62,28917220.510711662,0.0,28917220.510711662,28917220.510711662,28917220.510711662,28917220.510711662,3622.017795628731,1552805.033105557,217.59508668683097
2012,63,29383627.293142445,0.0,29383627.293142445,29383627.293142445,29383627.293142445,29383627.293142445,3680.437437493711,1577850.275575004,221.10468485919924
2012,64,29850034.07557323,0.0,29850034.07557323,29850034.07557323,29850034.07557323,29850034.07557323,3738.857079358691,1602895.518044451,224.6142830315675
2012,65,30316440.85800401,0.0,30316440.85800401,30316440.85800401,30316440.85800401,30316440.85800401,3797.276721223671,1627940.760513898,228.12388120393578
2012,66,30782847.640434794,0.0,30782847.640434794,30782847.640434794,30782847.640434794,30782847.640434794,3855.6963630886507,1652986.002983345,231.63347937630405
2012,67,31249254.422865577,0.0,31249254.422865577,31249254.422865577,31249254.422865577,31249254.422865577,3914.1160049536306,1678031.245452792,235.14307754867232
