year,j_day,actual,calculated,difference,delta,N_drainage,N_runoff,N_erosion,N_uptake
,,kg,kg,kg,kg N,kg,kg,kg,kg
2010,142,0.0,7.302262139865617,-7.302262139865617,4.075783050513593,0,0.0,0.0,3.226479089352024
2010,143,0.0,8.036302114921426,-8.036302114921426,4.333081677814604,0,0.0,0.0,3.7032204371068227
2010,144,0.0,10.003788631998376,-10.003788631998376,5.352049727679258,0,0.0,0.0,4.651738904319116
2010,145,0.0,11.788858998448966,-11.788858998448966,6.658351870036995,0,0.0,0.0,5.13050712841197
2010,146,0.0,13.15010313983299,-13.15010313983299,7.103171113898597,0,0.0,0.0,6.046932025934392
2010,147,0.0,13.633256877432547,-13.633256877432547,7.382606610949907,0,0.0,0.0,6.2506502664826415
2010,148,0.0,12.962285780062334,-12.962285780062334,6.697986973021727,0,0.0,0.0,6.264298807040606
2010,149,0.0,12.604243495601485,-12.604243495601485,6.821395136957449,0,0.0,0.0,5.782848358644037
2010,150,0.0,12.640248968940416,-12.640248968940416,7.206524167806151,0,0.0,0.0,5.4337248011342645
2010,151,0.0,12.516273027200228,-12.516273027200228,6.968488086477805,0,0.0,0.0,5.547784940722423
2010,152,0.0,11.468512674815102,-11.468512674815102,5.859027912563647,0,0.0,0.0,5.609484762251455
2010,153,0.0,11.638343576414584,-11.638343576414584,6.278069896564432,0,0.0,0.0,5.360273679850153
2010,154,0.0,15.674058137945295,-15.674058137945295,10.133854269019992,0,0.0,0.0,5.540203868925304
2010,155,0.0,18.165687844959468,-18.165687844959468,12.646820248709446,0,0.0,0.0,5.518867596250022
2010,156,0.0,18.631924881366523,-18.631924881366523,12.9929700652998,0,0.0,0.0,5.638954816066723
2010,157,0.0,15.226837816207667,-15.226837816207667,5.613892187209103,0,3.3306278287650284,0.6197274341883786,5.662590366045156
2010,158,0.0,21.71907158435718,-21.71907158435718,16.341806555852514,0,0.0,0.0,5.377265028504666
2010,159,0.0,18.55499383683563,-18.55499383683563,11.833261559544724,0,0.10311352105327684,0.030708530675396813,6.587910225562234
2010,160,0.0,17.889468562103794,-17.889468562103794,13.308790887534798,0,0.06755325520765938,0.019388264040221353,4.493736155321115
2010,161,0.0,20.183566955755946,-20.183566955755946,18.67276825849615,0,0.0,0.0,1.5107986972597993
2010,162,0.0,20.092292743269972,-20.092292743269972,19.37808312071826,0.5154389902392099,0.0,0.0,0.19877063231250114
2010,163,0.0,20.25154485218786,-20.25154485218786,18.52831899414332,1.7232258580445394,0.0,0.0,0.0
2010,164,0.0,19.89996933285613,-19.89996933285613,19.89996933285613,0,0.0,0.0,0.0
2010,165,0.0,20.03462156786304,-20.03462156786304,20.03462156786304,0,0.0,0.0,0.0
2010,166,0.0,16.348738364382697,-16.348738364382697,13.437069272077792,0,2.4153182516409384,0.4963508406639648,0.0
2010,167,0.0,16.268347472245456,-16.268347472245456,13.730393392749306,0,2.1123418235271343,0.4256122559690138,0.0
2010,168,0.0,20.6614622185337,-20.6614622185337,20.6614622185337,0,0.0,0.0,0.0
2010,169,0.0,22.638834390238515,-22.638834390238515,18.595835314132273,4.04299907610624,0.0,0.0,0.0
2010,170,0.0,22.811026921994575,-22.811026921994575,17.31402049803802,5.497006423956556,0.0,0.0,0.0
2010,171,0.0,21.977291169767454,-21.977291169767454,21.977291169767454,0,0.0,0.0,0.0
2010,172,0.0,21.738790157907843,-21.738790157907843,21.58097744846316,0.15781270944468268,0.0,0.0,0.0
2010,173,0.0,22.31238536916094,-22.31238536916094,21.790919992230613,0,0.35315528395294393,0.16831009297738064,0.0
2010,174,0.0,16.39901212967786,-16.39901212967786,-10.851880319360419,0,20.14518958286927,6.968093633583005,0.1376092325860015
2010,175,0.0,24.88006375988562,-24.88006375988562,23.104926960441844,0,0.0,0.0,1.7751367994437766
2010,176,0.0,25.350272859123294,-25.350272859123294,19.950199722318644,2.686646240836295,0.0,0.0,2.7134268959683543
2010,177,0.0,26.045550845083785,-26.045550845083785,3.3866520061707206,15.671667737669367,2.5393129848396123,1.22378021989954,3.224137896504549
2010,178,0.0,24.21763300356898,-24.21763300356898,20.301236134850114,0,0.23753998087121325,0.11756588402397637,3.561291003823679
2010,179,0.0,27.53754897761167,-27.53754897761167,23.68685182788454,0,0.0,0.0,3.8506971497271327
2010,180,0.0,27.3404039229519,-27.3404039229519,17.651138026218064,5.663397368685353,0.0,0.0,4.025868528048482
2010,181,0.0,25.878533151426335,-25.878533151426335,15.20477770006903,6.851337894721877,0.0,0.0,3.8224175566354304
2010,182,0.0,24.244241051838205,-24.244241051838205,19.516388947108794,0.9097045323066628,0.0,0.0,3.8181475724227476
2010,183,0.0,23.123745285748512,-23.123745285748512,18.873005203660682,0,0.0,0.0,4.25074008208783
2010,184,0.0,22.248261431045414,-22.248261431045414,17.899358847715575,0,0.0,0.0,4.34890258332984
2010,185,0.0,22.07605117440367,-22.07605117440367,17.914095803706346,0,0.0,0.0,4.161955370697324
2010,186,0.0,24.33349655775203,-24.33349655775203,20.41111220374853,0,0.0,0.0,3.9223843540035013
2010,187,0.0,28.080274063480665,-28.080274063480665,24.136185797147732,0,0.008503062686389617,0.0030719903690708187,3.9325132132774696
2010,188,0.0,28.307912316542527,-28.307912316542527,24.107773192904574,0,0.0,0.0,4.200139123637955
2010,189,0.0,28.009165337593192,-28.009165337593192,23.954931834160448,0,0.0,0.0,4.054233503432744
2010,190,0.0,28.146587832578657,-28.146587832578657,24.070032931616538,0,0.0,0.0,4.076554900962119
2010,191,0.0,27.318708265909624,-27.318708265909624,23.31190617504035,0,0.0,0.0,4.006802090869276
2010,192,0.0,26.263381531656158,-26.263381531656158,22.376922920363313,0,0.0,0.0,3.886458611292844
2010,193,0.0,27.37867491248409,-27.37867491248409,23.336745453050867,0,0.0,0.0,4.041929459433223
2010,194,0.0,26.32962987243665,-26.32962987243665,22.231527311131003,0,0.0,0.0,4.098102561305647
2010,195,0.0,25.639264950497996,-25.639264950497996,21.647535658132142,0,0.0,0.0,3.9917292923658545
