county_code,gps_county,feed_id,neighbor_values,neighbor_distances
1001,"(32.55997272727273, -86.64500909090908)",109,"[np.float64(1.206006011111111), np.float64(1.5719756977777777), np.float64(0.4010734133333333), np.float64(0.9276131288888888)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",110,"[np.float64(1.206006011111111), np.float64(1.5719756977777777), np.float64(0.4010734133333333), np.float64(0.9276131288888888)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",111,"[np.float64(1.206006011111111), np.float64(1.5719756977777777), np.float64(0.4010734133333333), np.float64(0.9276131288888888)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",164,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",165,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",166,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",167,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",169,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",170,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",171,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",172,"[np.float64(1.5608108566666663), np.float64(1.074877), np.float64(1.5657671155555557), np.float64(1.570077558888889)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",193,"[np.float64(1.5560592570781426), np.float64(1.557105463193658), np.float64(1.5496132774631934), np.float64(2.8735472978482446)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
1001,"(32.55997272727273, -86.64500909090908)",197,"[np.float64(1.5560592570781426), np.float64(1.557105463193658), np.float64(1.5496132774631934), np.float64(2.8735472978482446)]","[33.73222670183032, 43.69385967139232, 40.446901234936234, 38.53622122267954]"
