county_code,gps_county,feed_id,neighbor_values,neighbor_distances
4005,"(35.615070833333334, -111.60136666666666)",64,"[np.float64(0.1206265359550561), np.float64(0.0048630606741573)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",65,"[np.float64(0.1206265359550561), np.float64(0.0048630606741573)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",105,"[np.float64(0.1091113868131868), np.float64(0.2242945241758241)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",106,"[np.float64(0.1091113868131868), np.float64(0.2242945241758241)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",107,"[np.float64(0.1091113868131868), np.float64(0.2242945241758241)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",108,"[np.float64(0.1091113868131868), np.float64(0.2242945241758241)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",109,"[np.float64(0.1717190422222222), np.float64(0.4545404422222222)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",110,"[np.float64(0.1717190422222222), np.float64(0.4545404422222222)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",111,"[np.float64(0.1717190422222222), np.float64(0.4545404422222222)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",164,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",165,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",166,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",167,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",169,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",170,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",171,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",172,"[np.float64(0.2451769855555555), np.float64(0.2451769855555555)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",193,"[np.float64(0.312504630804077), np.float64(0.5949813023782559)]","[139.81482015788097, 127.95774866999056]"
4005,"(35.615070833333334, -111.60136666666666)",197,"[np.float64(0.312504630804077), np.float64(0.5949813023782559)]","[139.81482015788097, 127.95774866999056]"
4015,"(35.272444, -114.13116400000001)",50,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",51,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",52,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",53,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",54,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",55,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
4015,"(35.272444, -114.13116400000001)",56,"[np.float64(0.0004064685714285), np.float64(0.0012523228571428)]","[164.36919739974, 177.46159457719054]"
