year,j_day,change in sw,runoff,evaporation,transpiration,drainage,precipitation,calculated water,difference
,,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O,mmH2O
2010,179,0.35642538486149533,0.0,1.4997487622808952,1.953825852857589,0.0,3.81,3.809999999999979,2.0872192862952943e-14
2010,180,-8.352714430505557,0.0,1.3930218902148777,1.9058630501884006,5.053829490102279,0.0,0.0,0.0
2010,181,-10.569556664915154,0.0,1.2513243021698233,2.1658459497456555,7.1523864129996815,0.0,6.217248937900877e-15,-6.217248937900877e-15
2010,182,-3.5066947933549244,0.0,0.9980076406673604,2.168805037893216,0.3398821147943734,0.0,2.4924506902834764e-14,-2.4924506902834764e-14
2010,183,-2.9667457479519044,0.0,0.805420892637008,2.1613248553148825,0.0,0.0,-1.3766765505351941e-14,1.3766765505351941e-14
2010,184,-2.8484142672824504,0.0,0.6690062438451985,2.1794080234372646,0.0,0.0,1.2434497875801753e-14,-1.2434497875801753e-14
2010,185,-2.850718104419684,0.0,0.580186487662062,2.2705316167576153,0.0,0.0,-6.661338147750939e-15,6.661338147750939e-15
2010,186,1.0101723392088786,0.0,0.4908101855784656,2.3090174752126624,0.0,3.81,3.8100000000000067,-6.661338147750939e-15
2010,187,8.310381351282956,0.0,0.35927409385639986,1.4903445548606418,0.0,10.16,10.159999999999998,1.7763568394002505e-15
2010,188,-2.958416507457983,0.0,0.9661193584563583,1.9922971490016324,0.0,0.0,7.549516567451064e-15,-7.549516567451064e-15
2010,189,3.325349400408655,0.0,0.8629915316713924,2.1616590679199503,0.0,6.35,6.349999999999998,1.7763568394002505e-15
2010,190,-3.625066625954389,0.0,1.2922810767729591,2.332785549181429,0.0,0.0,-8.881784197001252e-16,8.881784197001252e-16
2010,191,-3.6371809211678823,0.0,1.109900326874316,2.527280594293575,0.0,0.0,8.43769498715119e-15,-8.43769498715119e-15
2010,192,-3.605079103862465,0.0,0.935958613091813,2.669120490770644,0.0,0.0,-7.993605777301127e-15,7.993605777301127e-15
2010,193,1.0901647759458655,0.0,0.5990752791755363,2.120759944878603,0.0,3.81,3.8100000000000045,-4.440892098500626e-15
2010,194,-2.6507648676173687,0.0,0.6545984970424638,1.9961663705749138,0.0,0.0,8.881784197001252e-15,-8.881784197001252e-15
2010,195,-2.950421041245292,0.0,0.6449391366804637,2.305481904564823,0.0,0.0,-5.329070518200751e-15,5.329070518200751e-15
2010,196,19.923873842633228,3.2937917112777346,0.6573926625068762,2.7949417835821784,0.0,26.67,26.670000000000016,-1.4210854715202004e-14
2010,197,-3.7476249321455555,0.0,1.267992117906924,2.4796328142386317,0.0,0.0,0.0,0.0
2010,198,-3.4413161973012194,0.0,1.0023485327214112,2.43896766457981,0.0,0.0,2.220446049250313e-15,-2.220446049250313e-15
2010,199,-0.548071805216324,0.0,0.7743728752337813,2.3136989299825563,0.0,2.54,2.540000000000014,-1.3766765505351941e-14
2010,200,-2.7969270468037593,0.0,0.7144994792720636,2.082427567531699,0.0,0.0,3.1086244689504383e-15,-3.1086244689504383e-15
2010,201,1.0687050185358657,0.0,0.618269495424364,2.1230254860397695,0.0,3.81,3.8099999999999996,4.440892098500626e-16
2010,202,-3.0888873150888543,0.0,0.780753967198565,2.3081333478902843,0.0,0.0,-5.329070518200751e-15,5.329070518200751e-15
2010,203,-3.071630786274042,0.0,0.6763946119303924,2.3952361743436636,0.0,0.0,1.3766765505351941e-14,-1.3766765505351941e-14
2010,204,34.19670463306866,25.549418078869447,0.47559734804586706,2.0082799400160196,0.0,62.23,62.22999999999999,7.105427357601002e-15
2010,205,21.018187263019968,32.83889774088351,1.0722607968055928,2.220654199290926,0.0,57.15,57.15,0.0
