year,j_day,NO3_L1,NO3_L2,NO3_L3,NH4_L1,NH4_L2,NH4_L3,ActiveN_L1,ActiveN_L2,ActiveN_L3,StableN_L1,StableN_L2,StableN_L3,FreshN,Nitri_L1,Nitri_L2,Nitri_L3,Volati_L1,Volati_L2,Volati_L3,Denitri_L1,Denitri_L2,Denitri_L3,Tot_Nitri_Vol_L1,Tot_Nitri_Vol_L2,Tot_Nitri_Vol_L3,N_trans_L1,N_trans_L2,N_trans_L3,NO3_runoff,NH4_runoff,NO3_perc_L1,NO3_perc_L2,NO3_perc_L3,NH4_perc_L1,NH4_perc_L2,NH4_perc_L3,active_perc_L1,active_perc_L2,active_perc_L3,NH4_erosion,activeN_erosion,stableN_erosion,freshN_erosion
,,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg,kg,kg,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha,kg/ha
2009,263,14.02160236617517,12.529823609153016,10.739472164122965,0.47036527198639155,0.5180276134017089,0.7822890889580931,35.9467414106319,35.94233279886209,35.951613569645836,1763.999714252123,1763.9997109593307,1763.999758335556,0.0,0.013878853543287701,0.02791099974278802,0.031531037271195196,0.005146434732861737,2.2715792352991006e-06,1.5414029492968008e-08,0,0,0,0.019025288276149438,0.02791327132202332,0.031531052685224686,-2.6106904763980767e-05,-2.8268172237001182e-05,-2.3718793625914717e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,264,14.038447958006387,12.556956461230836,10.770447318550094,0.45051428096638346,0.4933935555547761,0.7534817953891839,35.944700231124294,35.93986127271183,35.9494704628306,1763.9996871448113,1763.9996814797998,1763.9997335663625,0.0,0.01684559183121672,0.027132852077820187,0.030975154427129448,0.00507368600825255,2.2114503103882467e-06,1.5150491139595147e-08,0,0,0,0.02191927783946927,0.027135063528130575,0.030975169577620587,-2.7107311853133072e-05,-2.9479530934670496e-05,-2.476919347336889e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,265,14.055809146616403,12.582304239656771,10.799792417103491,0.4305426256597155,0.47051983764963157,0.7262862145848081,35.942581518170286,35.93741582379199,35.9473467408109,1763.9996589990924,1763.9996508017064,1763.9997077562828,0.0,0.017361188610015597,0.0253477784259354,0.029345098553398074,0.004757325369611883,2.0664924577424944e-06,1.4350283639372987e-08,0,0,0,0.02211851397962748,0.025349844918393143,0.029345112903681712,-2.8145718946959735e-05,-3.0678093405692835e-05,-2.5810079605289505e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,266,13.950261017489423,12.606948823439083,10.82857359942199,0.3876636273473169,0.44837390896425294,0.6996735402033618,35.93847206855056,35.934947045331114,35.94520507854327,1763.9197094334809,1763.9996189136255,1763.9996808965325,0.0,0.02251219379101968,0.024644583782311134,0.02878118231849767,0.004648909391860453,2.0114449025416064e-06,1.408093664294381e-08,0.06450314007833885,0,0,0.027161103182880134,0.024646595227213675,0.028781196399434314,-2.936046097552435e-05,-3.1888080964488386e-05,-2.685975035430147e-05,0.06355718283966028,0.01821083107729292,0,0,0,0,0,0,0,0,0,1.7450638676496547e-05,0.0016284234942567015,0.07992020515061664,0.0
2009,267,11.683736532502436,14.869381743779368,10.858610568661026,0.2972676785815147,0.48873115226717684,0.6718954156780798,35.81733056821095,36.05073752053893,35.94297417226836,1763.919620684878,1763.9996437910113,1763.9996529433708,0.0,0.030957525010901016,0.019779498046165342,0.03003696923903736,0.00471445780636174,2.120948125436374e-06,1.472276151884084e-08,0,0.05482858770376944,0,0.035671982817262755,0.01978161899429078,0.030036983961798876,-8.874860272678008e-05,2.4877385846887138e-05,-2.795316160301582e-05,0.0,0.0,2.297482009997888,0,0,0.05784148702912331,0,0,0.11811272786175972,0,0,0,0,0,0.0
2009,268,11.708508244875642,14.007203900944267,11.74194194553681,0.27172650872999526,0.3916171257546994,0.7195042172106265,35.814231878322396,35.939906176694784,36.049018605353716,1763.9195304180607,1763.9996143341662,1763.999676977735,0.0,0.024771712373205607,0.03131654986278035,0.022978495116888473,0.003958414184075212,2.498181898452194e-06,1.5058299013561293e-08,0,0,0.03314151093898405,0.028730126557280817,0.031319048044678804,0.022978510175187487,-9.026681721124078e-05,-2.9456845183808584e-05,2.4034364027986615e-05,0.0,0.0,0,0.8934943926978797,0,0,0.06856979824383848,0,0,0.10808598091328542,0,0,0,0,0.0
2009,269,11.669821846055667,14.030315022053731,11.078671810827363,0.2492372691958042,0.37116335693170843,0.5896266249611527,35.81115849823671,35.93727772969525,35.940560867372376,1763.9194386454521,1763.9995835890452,1763.9996478415135,0.0,0.0223448156956485,0.023111121109463607,0.03061675215341352,0.003309576532853005,1.8398339589526987e-06,1.4928505711605986e-08,0.06103121451562328,0,0,0.025654392228501507,0.023112960943422557,0.03061676708191923,-9.177260862284357e-05,-3.0745120900230634e-05,-2.9136221513426793e-05,0.0,0.0,0,0,0.6938868868628614,0,0,0.10150936182261061,0,0,0.10623833754780086,0,0,0,0.0
2009,270,11.673376796413422,14.063633161684988,11.10134326822786,0.23188899241661076,0.3543692944249707,0.569090169253079,35.80751393534474,35.935642354192254,35.93845602245681,1763.9193450870505,1763.999552042505,1763.9996176737038,0.0,0.01730155903338975,0.019571530955622515,0.02267145740049699,0.0026727409197907625,1.5517139904821035e-06,1.1032781179578934e-08,0,0,0,0.019974299953180515,0.019573082669613,0.022671468433278167,-9.355840175245932e-05,-3.154654014091648e-05,-3.0167809638021483e-05,0.0,0.0,0.013746608675636035,0,0,0.0002696633048830815,0,0,0.0008424348148528626,0,0,0,0,0,0.0
2009,271,11.643153615743575,14.079175830583115,11.119954599657373,0.2193940017799032,0.34110854349792913,0.552444808197118,35.80501081881974,35.93339185798424,35.93652115910734,1763.9192503024565,1763.9995193929967,1763.9995865576482,0.0,0.013073207549188979,0.015542668898125367,0.018611331429512653,0.002019684206613961,1.227745198506237e-06,9.031559711161955e-09,0.04329638821903591,0,0,0.01509289175580294,0.015543896643323873,0.018611340461072365,-9.478459409994003e-05,-3.2649508271824746e-05,-3.111605564170532e-05,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
2009,272,11.21444852610184,14.470431470247025,11.133532646791398,0.20401863254388808,0.34007480996068307,0.5405674547291673,35.77779191164658,35.956663703123944,35.93485239271962,1763.9191421750077,1763.9994981526095,1763.9995546238074,0.0,0.00890771146801215,0.01026016063079465,0.0135780471340252,0.0013168129689930743,8.475748782801099e-07,6.56237391850605e-09,0.028613948819101433,0.02800337325752906,0,0.010224524437005224,0.01026100820567293,0.013578053696399119,-0.00010812744876763646,-2.1240387188959178e-05,-3.193384072582376e-05,0.0,0.0,0.4089988522906462,0,0,0.007342055089230489,0,0,0.025135824331703714,0,0,0,0,0,0.0
