id,breed,birth_date,days_born,birth_weight,body_weight,wean_weight,mature_body_weight,events,repro_program,tai_method_h,synch_ed_method_h,estrus_count,estrus_day,tai_program_start_day_h,synch_ed_program_start_day_h,synch_ed_estrus_day,synch_ed_stop_day,conception_rate,ai_day,abortion_day,days_in_preg,gestation_length,p_gest_for_calf,calf_birth_weight
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 441: ['pregnancy check 1: not pregnant'] 
	days born 442: ['inject GnRH'] 
	days born 447: ['inject PGF'] 
	days born 448: ['inject PGF'] 
	days born 450: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 482: ['pregnancy check 1: not pregnant'] 
	days born 483: ['inject GnRH'] 
	days born 488: ['inject PGF'] 
	days born 489: ['inject PGF'] 
	days born 491: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 523: ['pregnancy check 1: not pregnant'] 
	days born 524: ['inject GnRH'] 
	days born 529: ['inject PGF'] 
	days born 530: ['inject PGF'] 
	days born 532: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 564: ['pregnancy check 1: not pregnant'] 
	days born 565: ['inject GnRH'] 
	days born 570: ['inject PGF'] 
	days born 571: ['inject PGF'] 
	days born 573: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 605: ['pregnancy check 1: not pregnant'] 
	days born 606: ['inject GnRH'] 
	days born 611: ['inject PGF'] 
	days born 612: ['inject PGF'] 
	days born 614: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 646: ['pregnancy check 1: confirmed'] 
	days born 705: ['pregnancy check 2: confirmed'] 
	days born 814: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,606,0,0,0,0.6,614,605,219,276,0,43.90928044
329247,HO,0,830,45.79386246,532.2883134,90.82449387,651.1921969,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 441: ['pregnancy check 1: confirmed'] 
	days born 500: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 501: ['inject GnRH'] 
	days born 506: ['inject PGF'] 
	days born 507: ['inject PGF'] 
	days born 509: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 541: ['pregnancy check 1: confirmed'] 
	days born 600: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 601: ['inject GnRH'] 
	days born 606: ['inject PGF'] 
	days born 607: ['inject PGF'] 
	days born 609: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 641: ['pregnancy check 1: confirmed'] 
	days born 700: ['pregnancy check 2: confirmed'] 
	days born 809: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,601,0,0,0,0.6,609,600,222,282,0,41.95931333
329967,HO,0,825,43.68038166,604.0716538,86.63275697,751.7004646,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 400: ['pregnancy check 1: confirmed'] 
	days born 459: ['pregnancy check 2: confirmed'] 
	days born 568: ['pregnancy loss happened between 2nd and 3rd pregnancy check'] 
	days born 569: ['inject GnRH'] 
	days born 574: ['inject PGF'] 
	days born 575: ['inject PGF'] 
	days born 577: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 609: ['pregnancy check 1: not pregnant'] 
	days born 610: ['inject GnRH'] 
	days born 615: ['inject PGF'] 
	days born 616: ['inject PGF'] 
	days born 618: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 650: ['pregnancy check 1: confirmed'] 
	days born 709: ['pregnancy check 2: confirmed'] 
	days born 818: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,610,0,0,0,0.6,618,609,208,283,0,44.58812992
330161,HO,0,823,44.29067439,677.5722836,87.84317087,838.0513307,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 441: ['pregnancy check 1: confirmed'] 
	days born 500: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 501: ['inject GnRH'] 
	days born 506: ['inject PGF'] 
	days born 507: ['inject PGF'] 
	days born 509: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 541: ['pregnancy check 1: confirmed'] 
	days born 600: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 601: ['inject GnRH'] 
	days born 606: ['inject PGF'] 
	days born 607: ['inject PGF'] 
	days born 609: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 641: ['pregnancy check 1: confirmed'] 
	days born 700: ['pregnancy check 2: confirmed'] 
	days born 809: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,601,0,0,0,0.6,609,600,215,277,0,43.64132851
330487,HO,0,819,44.29270064,561.892305,87.84718959,692.3149711,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 441: ['pregnancy check 1: confirmed'] 
	days born 500: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 501: ['inject GnRH'] 
	days born 506: ['inject PGF'] 
	days born 507: ['inject PGF'] 
	days born 509: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 541: ['pregnancy check 1: not pregnant'] 
	days born 542: ['inject GnRH'] 
	days born 547: ['inject PGF'] 
	days born 548: ['inject PGF'] 
	days born 550: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 582: ['pregnancy check 1: not pregnant'] 
	days born 583: ['inject GnRH'] 
	days born 588: ['inject PGF'] 
	days born 589: ['inject PGF'] 
	days born 591: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 623: ['pregnancy check 1: confirmed'] 
	days born 682: ['pregnancy check 2: confirmed'] 
	days born 791: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,583,0,0,0,0.6,591,582,229,271,0,43.66900524
330702,HO,0,817,43.34846192,665.4216117,85.97444947,826.0951699,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 441: ['pregnancy check 1: confirmed'] 
	days born 500: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 501: ['inject GnRH'] 
	days born 506: ['inject PGF'] 
	days born 507: ['inject PGF'] 
	days born 509: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 541: ['pregnancy check 1: not pregnant'] 
	days born 542: ['inject GnRH'] 
	days born 547: ['inject PGF'] 
	days born 548: ['inject PGF'] 
	days born 550: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 582: ['pregnancy check 1: not pregnant'] 
	days born 583: ['inject GnRH'] 
	days born 588: ['inject PGF'] 
	days born 589: ['inject PGF'] 
	days born 591: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 623: ['pregnancy check 1: confirmed'] 
	days born 682: ['pregnancy check 2: confirmed'] 
	days born 791: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,583,0,0,0,0.6,591,582,227,269,0,42.91900077
330798,HO,0,816,44.49717787,596.3469421,88.25273611,734.6514569,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
	days born 368: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 400: ['pregnancy check 1: not pregnant'] 
	days born 401: ['inject GnRH'] 
	days born 406: ['inject PGF'] 
	days born 407: ['inject PGF'] 
	days born 409: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 441: ['pregnancy check 1: not pregnant'] 
	days born 442: ['inject GnRH'] 
	days born 447: ['inject PGF'] 
	days born 448: ['inject PGF'] 
	days born 450: ['inject GnRH', 'inseminated with conventional', 'heifer not pregnant'] 
	days born 482: ['pregnancy check 1: not pregnant'] 
	days born 483: ['inject GnRH'] 
	days born 488: ['inject PGF'] 
	days born 489: ['inject PGF'] 
	days born 491: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 523: ['pregnancy check 1: confirmed'] 
	days born 582: ['pregnancy loss happened between 1st and 2nd pregnancy check'] 
	days born 583: ['inject GnRH'] 
	days born 588: ['inject PGF'] 
	days born 589: ['inject PGF'] 
	days born 591: ['inject GnRH', 'inseminated with conventional', 'heifer pregnant'] 
	days born 623: ['pregnancy check 1: confirmed'] 
	days born 682: ['pregnancy check 2: confirmed'] 
	days born 791: ['pregnancy check 3: confirmed'] 
",TAI,md5CG2P,2P,0,0,583,0,0,0,0.6,591,582,226,277,0,45.02983338
330801,HO,0,817,43.51188079,619.2960876,86.29856356,774.4819302,"	days born 60: ['wean day'] 
	days born 360: ['breeding start', 'inject GnRH'] 
	days born 365: ['inject PGF'] 
	days born 366: ['inject PGF'] 
