year,j_day,num_animals,manure,U,TAN_s,MN,Mkg,VSd,VSnd,WIP_frac,WOP_frac,p_excrt_manure,p_frac
,,,g,g,g,g,g,g,g,g,g,g,g
2010,208,1446,31835.649391026527,51.805619824612535,25.518642295967407,80189.21008174903,12739.30110783492,1366952.680622025,163428.1966309054,0.22367448401571693,0.022367448401571684,31835.649391026527,0.44734896803143387
2010,215,1452,30473.312748247194,50.08010958454064,24.40031594491225,76984.86455507275,12154.654309719414,1305859.8233875209,156124.14315019458,0.2143702721448837,0.021437027214488372,30473.312748247194,0.4287405442897674
2010,222,702,28510.908341044764,46.8198638356971,22.807987047617285,71996.08421060807,11374.870262310587,1221857.1446900778,146081.06961421718,0.2005300482294582,0.020053004822945825,28510.908341044764,0.4010600964589164
2010,229,652,21210.77690671543,35.18619762740799,16.982445275402494,53785.12592226814,8450.261421968502,908756.2513632444,108647.79552557415,0.1493569825936423,0.014935698259364237,21210.77690671543,0.2987139651872846
2010,236,652,3391.491604777127,5.597878480301576,2.710182614641765,8574.466647522764,1349.7362455243801,145095.53593194627,17347.12701668834,0.023872285691088513,0.0023872285691088515,3391.491604777127,0.047744571382177026
2010,243,652,53117.4418998211,86.16420976089566,42.20199919369995,133168.64774574974,21133.416380038907,2268072.32483096,271162.98547139025,0.3732976334528341,0.037329763345283415,53117.4418998211,0.7465952669056682
2010,250,652,16598.122255976738,26.345567562336168,13.144062836217541,41255.23396465139,6637.318028093015,710204.4653511061,84909.62171326394,0.11631133282003882,0.011631133282003889,16598.122255976738,0.23262266564007764
2010,257,652,38694.86501979099,59.95193551111249,30.630076129011606,95456.80998682602,15613.479748648118,1664780.3596402323,199035.45734937073,0.2702263826557006,0.027022638265570078,38694.86501979099,0.5404527653114012
2010,264,652,3710.6963251927114,5.570194814574136,2.9331970340926095,9061.09222793763,1509.5893450532622,160368.75024057218,19173.140386866064,0.025817911392737425,0.0025817911392737427,3710.6963251927114,0.05163582278547485
2010,271,654,43359.34893112333,66.10092193536741,34.39488481245669,106718.42530683916,17659.1678420525,1878605.3599609965,224599.64453185865,0.3021346954934372,0.030213469549343747,43359.34893112333,0.6042693909868744
2010,278,614,35402.890295691,54.62411285995163,28.14675851190253,87627.24943283245,14409.620202652659,1534958.0380169111,183514.3437028602,0.2470373534483843,0.024703735344838423,35402.890295691,0.4940747068967686
2010,285,89,31842.121814774964,47.93023100678473,25.37312777093606,78335.9004631948,13089.39285712828,1389862.502084964,166167.21668617197,0.22148117313686233,0.022148117313686228,31842.121814774964,0.44296234627372466
2010,292,72,41673.23864070748,62.565788720386514,33.27049283745159,102607.9138689307,17200.44089370144,1825149.1098808055,218208.59773623667,0.2896655070443803,0.02896655070443801,41673.23864070748,0.5793310140887606
2010,299,76,11701.6632795576,17.630313523855047,9.335609797470621,28821.61455052233,4819.66073421755,511652.67933896795,61171.447900953695,0.08137470835917995,0.008137470835917994,11701.6632795576,0.1627494167183599
2010,306,94,15855.562162762264,23.7642802957347,12.667051573646589,39036.32209834089,6550.1285285641425,694931.2510424801,83083.60834308623,0.11019330742967004,0.011019330742967006,15855.562162762264,0.22038661485934008
2010,313,149,14172.485540628764,21.091760647731185,11.39426238678135,34963.257636878625,5911.1367806841645,626201.786653663,74866.54817728655,0.09834479577098768,0.00983447957709877,14172.485540628764,0.19668959154197535
2010,320,192,11094.90255877931,16.785641452837616,8.916153277281717,27508.256675902918,4604.0946849242255,488742.8578760291,58432.42784568711,0.0771514098255571,0.007715140982555711,11094.90255877931,0.1543028196511142
2010,327,206,10192.840406308753,15.138538539079308,8.197764027999249,25136.87352624791,4253.692836102023,450559.82210446434,53867.3944202428,0.07071959989512154,0.007071959989512149,10192.840406308753,0.14143919979024308
2010,334,208,15923.994328952609,23.640343293979132,12.791982847439213,39220.32428421475,6631.82777832858,702567.8581967931,83996.61502817509,0.11050002048726612,0.011050002048726606,15923.994328952609,0.22100004097453224
2010,341,205,21969.1631875397,32.47319209640561,17.65471964393955,54028.9007800012,9159.795220084015,969849.1085977484,115951.84900628499,0.1523530997091204,0.015235309970912042,21969.1631875397,0.3047061994182408
2010,348,218,24925.510551840165,37.25857682721621,20.03499197385694,61554.104217066706,10373.527166079513,1099671.4302210696,131472.9626527955,0.17307897709617184,0.017307897709617187,24925.510551840165,0.3461579541923437
2010,355,261,24915.82918540456,36.859232304159875,20.027160997783533,61297.04870066151,10383.889766079516,1099671.4302210696,131472.9626527955,0.1728204456491662,0.01728204456491661,24915.82918540456,0.3456408912983324
2010,362,291,24826.677815206534,36.64493708757702,20.02512176766578,61153.61365981133,10389.965966079515,1099671.4302210696,131472.9626527955,0.1720940180029446,0.017209401800294462,24826.677815206534,0.3441880360058892
2011,4,303,24062.85949846426,35.718816597347214,19.49844798288383,59527.998316043246,10097.659667021748,1069125.0016038176,127820.9359124401,0.16686122921002963,0.01668612292100296,24062.85949846426,0.33372245842005926
2011,11,307,25252.81378987049,37.706953581174304,20.494120213106594,62638.4429496634,10596.930715372835,1122581.2516840086,134211.98270806207,0.1752079849317145,0.01752079849317146,25252.81378987049,0.350415969863429
2011,18,308,28428.356120237215,42.405790546105244,22.994827244493745,70360.27979892486,11892.464511132775,1260040.1804616428,150646.10303966145,0.19727480696191121,0.019727480696191124,28428.356120237215,0.39454961392382243
2011,25,315,31487.903772897746,47.72698910947294,25.441145549639085,78246.34681185152,13090.795057128265,1389862.502084964,166167.21668617197,0.21897401164822453,0.021897401164822444,31487.903772897746,0.43794802329644905
2011,32,334,33552.85837074227,50.37671988372643,27.08534718977018,83066.5568727347,13968.59745430157,1481501.78793672,177123.29690723823,0.23307196035832942,0.023307196035832946,33552.85837074227,0.46614392071665883
2011,39,351,34283.12934604334,51.516543850677195,27.664715706101756,84846.75232280682,14253.761653359325,1512048.216553972,180775.32364759364,0.2381877246975109,0.023818772469751098,34283.12934604334,0.4763754493950218
2011,46,359,34204.06392667989,51.34964787458745,27.700200513403246,84733.11191557482,14258.67505335933,1512048.216553972,180775.32364759364,0.23754090679136744,0.023754090679136756,34204.06392667989,0.4750818135827349
2011,53,362,34519.800424293724,52.25259920707381,27.850006347906874,85596.53411191427,14311.999703123773,1519684.823708285,181688.3303326825,0.24006828511595096,0.024006828511595094,34519.800424293724,0.4801365702319019
2011,60,366,33547.7095355803,50.65438534467489,27.17547321654848,83252.2721528015,13960.73715430156,1481501.78793672,177123.29690723823,0.23315050750144425,0.02331505075014445,33547.7095355803,0.4663010150028885
2011,67,368,35993.91778457949,53.95926083925204,29.14402439096102,89022.78953093725,14978.40845100373,1588414.2880971022,189905.3904984822,0.24995794946257716,0.02499579494625771,35993.91778457949,0.4999158989251543
2011,74,376,36300.27255275574,54.98115593656684,29.4670949118382,90214.78502591547,15108.233950532614,1603687.5024057282,191731.4038686599,0.25233477869536663,0.025233477869536683,36300.27255275574,0.5046695573907333
2011,81,386,37481.360311607765,57.12810713822493,30.342252744327592,93175.41810403457,15523.799349119265,1649507.1453316063,197209.44397919302,0.2608242699140438,0.026082426991404353,37481.360311607765,0.5216485398280876
2011,88,392,37069.26769662864,56.387660547304556,30.096258840877674,92159.28581679877,15387.168049590384,1634233.9310229803,195383.4306090153,0.25781931055575696,0.025781931055575694,37069.26769662864,0.5156386211115139
2011,95,400,37226.03644909684,56.625494908719546,30.094247912491088,92321.69100592453,15380.122849590382,1634233.9310229803,195383.4306090153,0.25902869674181395,0.025902869674181424,37226.03644909684,0.5180573934836279
2011,102,406,35862.637992889584,55.041160917717484,29.041612994920833,89224.15735057298,14790.317551474853,1573141.0737884762,188079.37712830448,0.24979502613225527,0.024979502613225502,35862.637992889584,0.49959005226451053
2011,109,408,35257.7683415721,53.86510634518247,28.47418219936846,87413.46696496542,14506.766452417089,1542594.6451712241,184427.35038794906,0.2455089686672681,0.024550896866726804,35257.7683415721,0.4910179373345362
2011,116,410,34154.57917626812,51.8794057953257,27.612790918487732,84555.71319182012,14087.102753830448,1496775.002245346,178949.31027741593,0.2376315120596897,0.023763151205968957,34154.57917626812,0.4752630241193794
2011,123,409,33851.169265799304,51.80349594193428,27.41441037672979,83991.62647288924,13930.94895430156,1481501.78793672,177123.29690723823,0.23572059950486707,0.023572059950486692,33851.169265799304,0.47144119900973414
2011,130,412,35701.51023949438,54.72014507144581,28.814524802481014,88486.00354753686,14642.05255194597,1557867.8594798502,186253.36375812677,0.24873283419118764,0.024873283419118774,35701.51023949438,0.49746566838237527
2011,137,417,37799.74485126741,57.72369748160106,30.476817376431562,93550.6294627212,15509.110449119264,1649507.1453316063,197209.44397919302,0.2632552214891826,0.02632552214891825,37799.74485126741,0.5265104429783652
2011,144,420,39577.10823725584,60.828151101967556,31.90538034416666,98164.80306590827,16215.44314676368,1725873.2168747364,206339.51083008156,0.27583529605694734,0.02758352960569474,39577.10823725584,0.5516705921138947
2011,151,421,41103.13534754748,63.24961103324486,33.07023263591785,101810.91214403008,16782.6137448792,1786966.0741092404,213643.5643107924,0.2865845273976161,0.02865845273976159,41103.13534754748,0.5731690547952322
2011,158,427,42850.12327658425,66.12927187496567,34.5201197480139,106265.88810803278,17496.13984252362,1863332.1456523705,222773.63116168094,0.29881837614876056,0.029881837614876054,42850.12327658425,0.5976367522975211
2011,165,428,42428.41220627056,65.34734698151902,34.07619080890061,104988.14110374283,17279.393893230306,1840422.3241894315,220034.61110641438,0.29591022106691806,0.029591022106691803,42428.41220627056,0.5918204421338361
2011,172,430,42467.01234353192,65.36279134286501,34.06266121174747,105004.80817086673,17278.36219323028,1840422.3241894315,220034.61110641438,0.2961982583494053,0.02961982583494052,42467.01234353192,0.5923965166988105
