year,j_day,profile_SW,runoff,drainage,erosion,ET,manure_applied,manure_N_applied,manure_P_applied,profile_N,profile_P,N_runoff,P_runoff,N_drainage,P_drainage,N_erosion,P_erosion,yield,N_yield,P_yield
,,mm H2O,mm H2O,mm H2O,ton / ha,mm H2O,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg,kg
2011,166,858.3423558392942,0.0,0.0,0.0,15.923026761428936,0.0,0.0,0.0,13132.598295563314,373919.735368953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,167,1034.8300932405768,72.63231444203245,0.0,0.06493586325358232,12.245948156684975,0.0,0.0,0.0,13030.452812995156,373844.79304769734,92.86769280969354,137.6239287952305,0.0,0.0,3.9394146751669856,3.2922894727035446,0.0,0.0,0.0
2011,168,1010.3843112049873,0.0,0.0,0.0,24.445782035589424,0.0,0.0,0.0,13038.855609602111,373842.7166791548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,169,993.569933169061,0.0,0.0,0.0,16.814378035926417,0.0,0.0,0.0,13056.892501308484,373839.36959526106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,170,1066.320416387945,137.51525356894766,84.07424968017156,0.12839501474231407,15.032013531996576,0.0,0.0,0.0,12796.970859425459,373698.5992768305,120.32382588341342,201.28642677585353,135.07091564041613,0.6649639575928772,7.120210574118554,6.616652083029147,0.0,0.0,0.0
2011,171,1049.0267676722938,0.0,0.0,0.0,17.293648715651525,0.0,0.0,0.0,12807.26011867521,373694.8469502044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,172,1038.0734897165275,0.0,0.0,0.0,10.95327795576605,0.0,0.0,0.0,12823.588637136207,373692.5873198588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,173,1000.4345454550745,19.804601589287454,119.4120889894057,0.015211709593091823,15.770253682760003,0.0,0.0,0.0,12555.184431913389,373660.71782210196,13.970776867891098,89.68945293807252,286.930135594903,8.061547911333415,1.2603636691638522,0.8823142827500197,0.0,0.0,0.0
2011,174,1004.7697869624302,0.0,0.0,0.0,13.44475849264447,0.0,0.0,0.0,12568.347204794227,373658.1464457036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,175,1026.2029931540492,0.0,0.0,0.0,8.792793808380658,0.0,0.0,0.0,12577.397329960771,373656.00396543404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,176,958.8715048434873,0.0,53.71627680587077,0.0,17.171211504691215,0.0,0.0,0.0,12453.93520146415,373649.91368431,0.0,0.0,146.7078882889144,3.387644863820187,0.0,0.0,0.0,0.0,0.0
2011,177,937.0540376149964,0.0,4.493461533755042,0.0,17.324005694735952,0.0,0.0,0.0,12463.314896774484,373646.42767607997,0.0,0.0,14.325751154618692,0.3865895925707818,0.0,0.0,0.0,0.0,0.0
2011,178,901.7055659118432,0.0,20.31115608313086,0.0,15.037315620022284,0.0,0.0,0.0,12424.452473248008,373643.3879388824,0.0,0.0,59.85356639944346,1.3096448621209047,0.0,0.0,0.0,0.0,0.0
2011,179,885.3812596259376,0.0,0.0,0.0,16.324306285905656,0.0,0.0,0.0,12433.396763461824,373640.51164535095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,180,871.1165949156921,0.0,0.0,0.0,14.264664710245324,0.0,0.0,0.0,12437.846120881419,373638.2867399584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,181,855.0688429564431,0.0,0.0,0.0,16.04775195924907,0.0,0.0,0.0,12445.447569897828,373635.47059398977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,182,851.6168267619117,0.0,0.0,0.0,14.120016194531296,0.0,0.0,0.0,12456.52639116184,373633.1280010344,0.0,0.0,0.0,0.0,0.0,0.0,12227.628628695997,509.89211366944505,24.473392303134723
2011,183,836.27188178986,0.0,0.0,0.0,15.344944972051827,0.0,0.0,0.0,12461.024584710369,373630.94566206436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,184,819.5779662478135,0.0,0.0,0.0,16.693915542046533,0.0,0.0,0.0,12462.354896397039,373629.01431064977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,185,805.0391107001022,0.0,0.0,0.0,14.538855547711135,0.0,0.0,0.0,12464.202446209223,373625.47715113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,186,787.5214659961739,0.0,0.0,0.0,17.517644703928386,0.0,0.0,0.0,12463.414524576881,373620.89688473544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,187,850.7834072739832,0.12195480861314495,0.0,9.048154774498106e-05,16.626103913577527,0.0,0.0,0.0,12475.3000612791,373615.9212315486,0.0567316287082447,40.00447231926842,0.0,0.0,0.019210518856944962,0.00675834420657348,0.0,0.0,0.0
2011,188,830.2040814946698,0.0,0.0,0.0,20.579325779313496,0.0,0.0,0.0,12478.010167712262,373613.62997951737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,189,811.4615161689239,0.0,0.0,0.0,18.742565325745918,0.0,0.0,0.0,12480.29971138919,373611.71266953286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,190,793.1162117587131,0.0,0.0,0.0,18.345304410210826,0.0,0.0,0.0,12478.681758937639,373609.83589880547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,191,828.9370874850281,0.0,0.0,0.0,17.51912427368503,0.0,0.0,0.0,12488.180301481689,373607.7292015943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,192,847.7985114800481,0.0,0.0,0.0,20.254576004979892,0.0,0.0,0.0,12503.402648811936,373606.05109327397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,193,824.6108529154409,0.0,0.0,0.0,23.187658564607162,0.0,0.0,0.0,12514.556307084129,373604.7267468148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,194,805.6202141157135,0.0,0.0,0.0,18.990638799727407,0.0,0.0,0.0,12521.104102830488,373603.1109588897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,195,788.9906503598056,0.0,0.0,0.0,16.62956375590784,0.0,0.0,0.0,12525.851822766019,373601.1046223031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,196,771.7862407674278,0.0,0.0,0.0,17.204409592377974,0.0,0.0,0.0,12528.411420600563,373598.88766303496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,197,771.0288951979439,0.0,0.0,0.0,14.981345569483736,0.0,0.0,0.0,12531.110556309277,373596.3072216833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,198,754.3802319895392,0.0,0.0,0.0,16.648663208404816,0.0,0.0,0.0,12531.61361851541,373594.06995110627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,199,747.3940118705154,0.0,0.0,0.0,17.654220119023723,0.0,0.0,0.0,12527.92021758878,373592.15809231275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,200,731.00445313198,0.0,0.0,0.0,16.38955873853544,0.0,0.0,0.0,12528.382946572654,373589.8535649287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,201,713.7362597620734,0.0,0.0,0.0,17.26819336990652,0.0,0.0,0.0,12532.08628865678,373588.20572504785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,202,696.346544993617,0.0,0.0,0.0,17.38971476845643,0.0,0.0,0.0,12535.685081730888,373586.52601943334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,203,698.7235093995564,0.0,0.0,0.0,15.40303559406043,0.0,0.0,0.0,12538.040584192802,373584.8320666916,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,204,700.8783719113924,0.0,0.0,0.0,15.625137488164215,0.0,0.0,0.0,12543.124174443301,373582.8839034676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,205,694.735418072999,0.0,0.0,0.0,16.81095383839338,0.0,0.0,0.0,12546.88834650044,373580.7574445396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,206,680.9699737671297,0.0,0.0,0.0,13.765444305869227,0.0,0.0,0.0,12550.719339502,373578.60218700196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2011,207,668.010077394678,0.0,0.0,0.0,12.959896372451755,0.0,0.0,0.0,12551.07011402155,373576.73672361666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
